id,name,description,duration,released?,release year,release date,revenue
2055843,The Demon,"Omar is a timid young man who catches feelings for Passant, but his timidness poses a stumbling block in the way of him confessing his love. Until one day, a supernatural creature emerges and promises to help.",10,Yes,2019,16 February 2019,
2055503,Sab'e Alboromba,"Omar marries Nesma despite her father's objection. After the wedding ceremony, they're attacked by unknown men. During her escape, Nesma is injured.  Awakening from a coma, she refuses to see Omar because she doesn't feel safe with him. He goes to a psychiatrist to help him solve the problem.",92,Yes,2019,4 June 2019,35082656
2055129,Al-Felos,"Sief is a conman who is hired by the beautiful rich woman, Hala, to help her get her money back from another conman. Their relationship gets them entangled in a web of deceit as they start questioning their stances regarding love, friendship, and the meaning of life.",118,Yes,2019,24 December 2019,47856702
2055115,Akhenaten Fi Marrakech,"When a famous singer is hired to perform in the closing ceremony of the Arabic Music Festival in Marrakesh, he soon finds himself falling victim to the machinations of a smuggler, who makes use of the singer's fame to smuggle a papyrus, which hails from the Akhenaten era, from Morocco to Europe.",120,Yes,2019,18 December 2019,
2055064,Show Day,The film follows a major scam operation that takes place in one of the major theaters.,79,Yes,2019,10 April 2019,129026
2054548,Parking,,,No,2019,,
2054468,El Feel El Azraq 2,"Five years after the events of the first part, Dr. Yehia marries Lobna and is assigned to a new case from the 8-West Women's Ward. He finds that someone is trying to manipulate his life as well as his family's. In an attempt to take control of all ongoing events and solve the mysteries he's facing, Yehia turns to the ""Blue Elephant"" pills .",130,Yes,2019,25 July 2019,103633291
2054216,Estedaa Wale Amr,"Amr's school principal summons his guardian to address the problems he keeps causing. His father, Ragheb, has problems with his wife Sarah, who wants to relive the early days of their love story by reuniting their high school friends.",98,Yes,2019,11 December 2019,448159
2054123,Lama Benetweled,"The story of three different characters: the first is a guy aspires to have a singing career, the second is a dreamy Christian woman who falls in love with a young Muslim, and the third is a man who works in the field of sports training.",110,Yes,2019,23 October 2019,493525
2054027,Casablanca,"Three friends: Omar,Oraby and Rashid form a gang of pirates called “Sea Burglars”. They get assigned to a mission against the Mob after a large cargo of diamonds was heisted. Things turn into a web of rivalries and paybacks, when Oraby decides to do the mission on his own and escapes to Morocco.",104,Yes,2019,4 June 2019,79156808
2052720,Mohamed Hussein,"When world-renowned artist Sherif Kamal returns to Egypt after 37 years abroad, his step-daughter refuses to allow him to complete his last painting and takes revenge on him. However, she soon learns that before his death, Sherif sketched a painting on the back of Mohamed Hussein, a driver.",96,Yes,2019,4 June 2019,4790605
2052708,Hamlet Pharoan,"Yehia, known as Pharaoh, reassembles a group of six of his old friends, each with a unique combating skill, to travel to Syria under the pretense of bounty hunting. Their real mission is to save his kidnapped son from the hands of Franco and his ISIS gangsters after they assaulted Syrian refugees, including Yehia's wife, and took away the children to a district that is currently under his control.",110,Yes,2019,4 June 2019,18574977
2052495,Omar Khresto,"In this suspenseful thriller, a captain roaming the high seas receives threats from a terrorist organization that they will harm his daughter if he doesn’t assist them on a deadly mission to blow a gas pipe in Sinai.",90,Yes,2019,2 January 2019,885110
2052471,Welad Rizk 2: A'wdat Osoud Al-Ard,"Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their lives, everything changes and they find themselves stepping into new worlds in which they must face deadly criminals.",128,Yes,2019,8 August 2019,100753422
2052323,Qesat Hob,"Youssef, a successful engineer, loses his sight in a terrible accident, and he crosses paths with Gamila. As the two start developing feelings for one another, their love is tested.",125,Yes,2019,13 February 2019,11159600
2052322,Watch out for the next,,,No,2019,,
2051732,El-Mamarr,"After the Six-Day War in June, 1967, Egypt lost Sinai to Israel. The Egyptian military then confronted the need to re-build its strategic, infrastructure and manpower abilities.  The War of Attrition was soon initiated and Major Nour's assignment with his Special Forces Shock troop was a reprisal raid to destroy the largest Israeli camp in central Sinai with the aid of the heroic Sinai tribesmen.",150,Yes,2019,4 June 2019,74495223
2051193,Eish Hayatak,"Ibrahim is a creative advertising professional who is extremely boring and reserved. As he embarks on a journey to win over his son who seems to prefer his stepfather, Ibrahim seizes the chance when he goes on a business trip to film an ad campaign titled “live your life!"" to get close to his son.",110,Yes,2019,13 February 2019,468209
2051055,Nadi El-Regal El-Serri,"Adham helps a group of his friends join a getaway club for men called “The Secret Men’s Club”. But Adham's own marriage is in trouble as his wife of ten years starts following him to find out what he is keeping from her, which results in many funny situations.",105,Yes,2019,23 January 2019,59719314
2050653,Kazanova,A love story between a director and a fashion designer that faces an unexpected turn of events that threatens their romance.,101,Yes,2019,17 April 2019,273184
2050591,Saeat Reda,"In a local neighborhood, the mechanic Reda harbors unrequited feelings for Nour. When he finds an old clock that turns out to be an enchanted time machine, he goes back in time to win his girl’s heart, but he finds himself in some unexpected awkward situations.",33,Yes,2019,9 January 2019,3141008
2050062,Qarmat Bitamrmat,"Qarmouti builds a graveyard for his ancestors, and makes it a paid tourists attraction; this causes him lots of problems with the government. Meantime, a journalist videos an antiquities smuggling operation and the tape ends up with Qarmouti who finds himself chased by the smugglers.",110,Yes,2019,16 January 2019,4101246
2050051,The Guest,"A young man is invited for dinner with the family of Dr. Yehia Hussein Al-Tijani at the invitation of Yehia's lovestruck daughter. But Yehia is under a lot of pressure ever since his bold opinions put a target on his back, which turns the dinner into a stirring debate between Yehia and his guest.",99,Yes,2019,8 January 2019,7507774
2049915,122,"As love blossoms between a man from a simple background and a deaf and mute woman, they find themselves drawn into a world of crime. When they are injured in a terrible accident, they are rushed to the hospital where they have to face their worst nightmare.",95,Yes,2019,2 January 2019,24808161
2049077,Doctor Bes Bes,,,Yes,2019,,
2048727,El Kenz 2: Al-Hobb wa Al-Maseer,"The sequel resumes with Hassan setting out to find the treasure buried in his father, Bashir Al-Katatni's mansion. The clues in the ancient papyrus documents are within the stories of Hatshepsut in the Pharaonic era, Ali-the-Mercury during the Ottoman era and his father, Bashir Al-Katatini, who's facing new challenges in work and love.",128,Yes,2019,10 August 2019,6141568
2047740,Khat Al-Mout,"A story about what is happening in Egypt and the Middle East in the wake of the revolutions of 2011, as well as the constant and ongoing struggle of the Masonic organizations and the countries supporting terrorism to control Egypt and the Arab countries.",90,Yes,2019,27 March 2019,43106
2046552,Biat set,"A lot of evil organizations have awaited for the myth about the resurrection of Set, the God of Evil, to come true. For years, the blood of innocents has been shed as offerings in preparation for his return. Is it time for him to return? Can the journalist Salma uncover the secrets behind the myth?",77,Yes,2019,11 December 2019,566522
2042417,The American Game,"As a young couple faces many financial and social difficulties that impede their marriage, the owner of the company where they both work unexpectedly makes them a tempting proposal that could help them solve their problems but will put their love to the test.",91,Yes,2019,27 March 2019,652987
2018733,Daght A'aly,"When a young electrical engineer accidentally gets electrocuted, he becomes a source of electric power for his entire neighborhood. As he falls in love with a girl whom he electrocuted, the government tries to take advantage of his power to make up for the power crisis.",105,Yes,2019,3 April 2019,453893
2068394,Contact,,,Yes,2018,10 December 2018,
2060854,Pale Colors,,,Yes,2018,24 December 2019,
2057080,Juzur Tarabulus,,16,Yes,2018,,
2057077,Taaton Mn Baaed,,84,Yes,2018,14 April 2019,
2057069,Fe Studio Masr,,95,Yes,2018,13 April 2019,
2056566,Boody: The Sumo Pharaoh,,60,Yes,2018,24 February 2019,
2054916,Intense Practice to Improve Performance,,,No,2018,,
2054886,Experiment: SORRY,,12,No,2018,,
2054795,No one is there,"On the streets of Cairo, Ahmed is helping a girl he doesn't know to get an abortion, while he's trying to come up with the money, he gets involved with a group led by a girl who wants to uncover the secret of a giraffe hidden in the zoo.",75,Yes,2018,16 April 2019,
2054788,Kilo 64,,61,Yes,2018,,
2053667,Samouni Road,,126,Yes,2018,16 April 2019,
2053666,Alhelm Albaed,"A look at the touristic city of Sharm El Sheikh in the aftermath of the 2011 Arab Spring and the Egyptian revolution, highlighting the devastating effects on tourism by depicting resort employees as they become the sole inhabitants of the abandoned hotels.",85,Yes,2018,18 February 2019,
2053663,Al Gamiya,"At one of Cairo’s poor neighborhoods, providing for daily life necessities is a true challenge; yet the sense of belonging among people is helping them keep things going somehow. They share this saving routine, Al Gami'ya, to help them provide for their lives’ needs – an intimate close-up on people’s lives.",79,Yes,2018,1 August 2017,
2053153,Manican,,,No,2018,,
2052991,Bein Bahrain,"On a visit to a suburb of Cairo, Zahraa's daughter has a tragic accident, and the mother tries to help the daughter overcome the adversity and continue her education.",88,Yes,2018,16 October 2019,49008
2051923,The Most Dangerous Man,"Omar returns to Egypt after 28 years to take back his father's building which was seized by those who rented its apartments. When he fails to convince the owners of the bank that occupies the ground floor to leave, he decides to rob the bank.",90,Yes,2018,11 July 2018,511253
2051898,"We're Sorry, Sir","A drama that depicts the life of a group of young people as they decide to be of use to society, but their benevolence is met with malevolence and threats.",97,Yes,2018,9 May 2018,4416
2051855,The 90th generation,,19,No,2018,,
2051735,Wezo School,,,No,2018,,
2051677,The Wardrobe Man,"Bassem Yousri finds himself in the West Jutland area, in Denmark, on a research mission about the life of the peculiar Wardrobe Man; Kristian Vandet Jørgensen a hermit who lived in his wardrobe by the shore of Oddesund, Denmark, from 1917 until he died in 1956.
From inside his wardrobe in Cairo, Yousri tells the story of his research to his friend Shadi. The film combines documentary footage and archival material with fictional scenes. The lines between fact and fiction are blurred. In the Wardrobe Man, Yousri attempts to grasp the relationship between geography, reality, history, and imagination.",50,Yes,2018,17 February 2019,4157
2051546,Kedba Bidaa (Masricani),"Ahmed falls in love with an American girl called Ashley whom he takes to Cairo for a family visit, causing many paradoxes due to the difference in customs and traditions. Ashley is surprised to learn that Ahmed wants to marry her and stay in Egypt, which she has not taken into account.",100,Yes,2018,17 October 2018,1832354
2051400,AL-Abla Tamtam,"A group of prisoners breaks out of prison using an underground tunnel that leads them into a school. When they discover where they are, they decide to remain in the school until further notice, but Ms. Tam Tam pushes back against them.",109,Yes,2018,16 June 2018,10213416
2051227,Sargy margy,,,Yes,2018,,
2051096,Shar Assal,"Yusuf and Dalia discover the high costs of their wedding, so they decide to use the money to go on a honeymoon instead. They choose the Malaysian capital of Kuala Lumpur, and when they get there, Dalia gets kidnapped in mysterious circumstances.",102,Yes,2018,21 March 2018,50519
2051037,Lelyt Hana w Sorour,"Reda is a professional swindler who claims to be a businessman called Souror so that he could steal an antique statue. When he meets Hana, he claims that he is working for the General Intelligence Directorate and that Mossad is after him to steal the statue.",99,Yes,2018,16 June 2018,35064058
2051036,Qalb Ommoh,"When Magdy is critically injured in a fight, the doctors struggle to save his life when he requires a heart transplant. But Younis' mother dies and the doctors transplant her heart to Magdy who starts acting in a motherly way towards Younis.",104,Yes,2018,16 June 2018,17160237
2051035,El Kowayeseen,"Muftah and his sister Ghazal are a team of cons. When Muftah hears about a rare jewel that belongs to El-Kowayeseen family, he pretends to be the family's long lost son, Mazhar, to get close to them. Despite the plan's initial success, Muftah faces many difficulties later on.",124,Yes,2018,19 August 2018,21291943
2050815,Singers About Food,,,No,2018,,
2050756,Layl/ Khariji,"Moe, Tutu and Mustafa, cross paths during unusual circumstances. They get involved into events that were not taken into account by any of them, and witness a hidden and unknown side of the city.",98,Yes,2018,19 December 2018,709307
2050637,Is It Chemistry؟,,,No,2018,,
2050502,The Titans,,,No,2018,,
2050421,GAREMET AL IMMOBILIA,"Kamel Helmi is a famous writer who lives in the famous Immobilia building. When he starts feeling lonely, he invites Samah, a girl he met on Facebook, to his apartment in an attempt to ease his loneliness. But when an accident happens, both he and his neighbor discover that Samah is using him.",123,Yes,2018,20 February 2019,646020
2050323,Torbal Rayeh Jayy,"When Torbal and his brother Ghorbal take their mother to Cairo for medical care, and only resort to a quack to cure her illness, Torbal decides to become one himself – that leads to many hilarious situations.",105,Yes,2018,17 January 2018,
2050172,رمسة كريم‎,,,No,2018,,
2050036,Gedo Nahnoh,"When their wealthy grandfather dies, a group of young men discovers that he didn't leave them any money, only a will telling them to search for a hidden treasure. When they discover that their treasure is kept at an asylum for the mentally ill, their comic treasure hunt begins.",110,Yes,2018,17 January 2018,382832
2049932,Yomeddine,"In the wake of his wife's death, a middle-aged Coptic leper named Beshay, who grew up in the confines of the leper colony, embarks on a journey across Egypt with his young Nubian friend, Obama, and his donkey, in an attempt to reconnect with his family in Qena.",97,Yes,2018,24 September 2018,1093737
2049762,Bani Adam,"A thriller about the businessman Adam who faces criminal charges until the police enlist him for a critical mission. Will he deliver, or show an unexpected hidden side?",114,Yes,2018,18 August 2018,9177121
2049624,El Badla,"When two friends decide to go to a costume party, they pick police uniforms to don as their costumes, only for their old classmates to mistake them for actual policemen, which puts them in many unexpected situations.",96,Yes,2018,20 August 2018,67339111
2049532,Khalawees,"Aly Hassan, a five-year old child, gets arrested for a name mix-up with a wanted criminal. His father rushes to free him, and clear the misunderstanding, while there’s a crazy media campaign to prove that the boy is actually the criminal.",90,Yes,2018,17 January 2018,1125034
2049146,Matryoshka,"In the 90s, and following the dissolution of the Soviet Union and the resulting conflicts, four Russian girls travel to Egypt and start to mingle in the Egyptian society, developing a shared admiration towards it in a way that makes them unwilling to return to their homeland.",100,No,2018,17 November 2019,
2049108,Souq Algouma'a,An inside look at the Friday Market that is frequented by poor people each week that offers a close-up look at merchants and how they deal with customers.,90,Yes,2018,19 August 2018,3418480
2048780,The Cave,"A look into how people deal with each other and with the circumstances they face, as well as the role of friendship during these hardships, demonstrating the meaning of true friendship and how valuable friendship bonds are.",85,Yes,2018,21 February 2018,453402
2048650,Harb Karmooz,"In the forties, a girl gets raped by a group of English soldiers. One of the English soldiers is held at the Karmouz police station in the custody of General Youssef Al-Masry. When General Adams has his men besiege the police station to rescue his soldier, it's up to Youssef to hold him off.",116,Yes,2018,16 June 2018,57634545
2048615,Nawrt Masr,"Hamed comes back home after fifteen years in Kuwait. When he reunites with his college friends, they go through many comedic situations together.",88,Yes,2018,4 April 2018,2765850
2048167,Eyar Nari,"After a clash between demonstrators and security forces, a body from the clash is returned to the morgue.  Forensic doctor, Yassin, writes his medical report stating that the victim was shot at close range, unlike the other bodies , problems begin when the medical report is leaked to the media.",97,Yes,2018,3 October 2018,7181345
2048148,Colored Dress,"The story of the lives of 15 women and their various stories of success despite the difficult circumstances they go through, demonstrating how they fit the idea of a strong independent woman.",40,Yes,2018,18 January 2018,
2048098,Bekia,"An international organization tries to kidnap Mustafa (Mohammed Ragab), an Egyptian cancer and AIDS medicine researcher, who could save humanity from these diseases, which leads him to escaping and faking memory loss. Mustafa ends up living in a landfill until he finishes his research.",98,Yes,2018,19 August 2018,2567562
2047938,Karma,"The film covers two parallel stories, one about a wealthy Muslim called Adham who is extremely classist, and the other about a poor Christian named Watany who dreams of finding a treasure and getting rich. Through an unexpected paradox, they get swapped with each other.",122,Yes,2018,16 June 2018,8108994
2047854,Etla'ooli Barra,"A young man living in a local area, one day finds a book called "" Let's Take This Outside"" about how each person has many personalities inside of him, and when he reads it, a number of characters emerge that dominate his life and decisions.",90,Yes,2018,17 January 2018,3021688
2047852,El-Diesel,"Stuntman Badr the Diesel lives in a poor neighborhood. He meets Donia El- Sayad, a famous movie star, whose assistant, Afaf, is Badr’s Fiancée. When Afaf gets killed, he decides to seek revenge and find those who are responsible for her death.",93,Yes,2018,21 August 2018,24021728
